subject,cond,NIW,REH.HER,YAD.DAY,TUC.CUT,FALSE.POSITIVES
7,known,1,1,1,1,0
108,known,0,1,1,0,1
113,known,0,0,1,0,1
130,unknown,0,1,0,1,1
128,unknown,0,1,0,1,1
139,known,0,0,0,0,1
47,unknown,0,0,1,1,0
28,known,1,0,0,1,1
92,known,0,1,0,1,1
71,known,0,1,1,1,1
10,known,1,1,0,1,1
