"","subject","cond","NIW","REH.HER","YAD.DAY","TUC.CUT","FALSE.POSITIVES"
"5",7,"known",1,1,1,1,1
"16",108,"known",0,1,1,0,1
"24",113,"known",0,0,1,0,0
"26",130,"unknown",0,1,0,1,0
"48",128,"unknown",0,1,0,1,0
"70",139,"known",0,0,0,0,0
"75",47,"unknown",0,0,0,0,0
"76",28,"known",1,0,0,1,0
"100",92,"known",0,0,0,0,1
"121",71,"known",0,1,1,1,0
"140",10,"known",1,1,1,1,0
